code,name,strategy,entry_date,entry,exit_date,exit,pnl,r
8358,,D,2026-05-08,473.47,2026-05-14,435.16,-40.91,-1.0801
6190,,D,2026-05-11,80.68,2026-06-01,96.72,7748.17,2.4009
6190,,D,2026-05-11,80.68,2026-06-08,73.13,-3996.18,-1.2383
4991,,D,2026-05-26,850.85,2026-05-28,764.24,-91.21,-1.3400
3042,,K,2026-05-27,220.22,2026-06-01,198.00,-6742.13,-1.0630
6196,,K,2026-05-27,523.52,2026-06-08,456.54,-69.75,-1.3322
3042,,L,2026-05-27,220.22,2026-06-08,190.81,-5930.41,-1.1568
6196,,L,2026-05-27,523.52,2026-06-08,456.54,-69.75,-1.1102
3042,,D,2026-05-27,220.22,2026-06-01,202.40,-5918.22,-1.0801
6488,,D,2026-05-28,935.93,2026-06-05,819.18,-121.71,-1.6256
3008,,K,2026-06-04,3943.94,2026-06-08,3326.67,-637.61,-1.6167
3008,,L,2026-06-04,3943.94,2026-06-08,3326.67,-637.61,-1.3472
3008,,D,2026-06-04,3943.94,2026-06-05,3624.80,-340.80,-1.0801
4931,,K,2026-06-05,259.26,2026-06-08,222.78,-9648.49,-1.4594
4931,,L,2026-06-05,259.26,2026-06-08,222.78,-37.84,-1.2162
4931,,D,2026-06-05,259.26,2026-06-08,222.78,-37.84,-1.8243
2492,,K,2026-06-22,616.62,2026-06-24,553.45,-66.50,-1.0784
2492,,L,2026-06-22,616.62,2026-06-26,542.08,-77.81,-1.0516
2492,,D,2026-06-22,616.62,2026-06-24,553.45,-66.50,-1.3480
